,random,greedy1,greedy2,diversity,random_high_sample_size,diversity_speciation_2
0,0.20800013785389843,0.2113532757957905,0.2113532757957905,0.2113532757957905,0.20822209675371223,0.2113532757957905
1,0.21524860253999462,0.22178972010017303,0.21898490998639178,0.21898490998639178,0.21503674833011288,0.21898490998639178
2,0.2237514762436535,0.23015185335797816,0.22675642597064036,0.22675642597064036,0.2213662871460823,0.22675642597064036
3,0.22127424949285826,0.23700819765968775,0.23206836339725936,0.23206836339725936,0.22765867814591254,0.23206836339725936
4,0.22137614457436003,0.24109844028034044,0.23279533854051243,0.23279533854051243,0.23158667651547898,0.23279533854051243
5,0.22980151257875636,0.24458339297084683,0.2360211855364911,0.2360211855364911,0.23401457371133752,0.2360211855364911
6,0.2345316912031836,0.2463813808979205,0.23792132787317694,0.23792132787317694,0.2363336956721732,0.23792132787317694
7,0.23963837271091387,0.24705884102780568,0.24012825608975324,0.24012825608975324,0.237728765731276,0.24012825608975324
8,0.2459394805336837,0.24720304921372163,0.23915613139063474,0.23915613139063474,0.2378230047336459,0.23915613139063474
9,0.23661492369890488,0.24648493525037432,0.24176581257654478,0.24176581257654478,0.23864688848651971,0.24176581257654478
10,0.2419250418844757,0.24550080180929987,0.24276712396983777,0.24276712396983777,0.2389782164063568,0.24276712396983777
11,0.23855977043001303,0.24412568392781792,0.24152263035305332,0.24152263035305332,0.23965310771748086,0.24152263035305332
12,0.2411505249123516,0.24287596312270415,0.24287596312270415,0.24287596312270415,0.23909276771990443,0.24287596312270415
13,0.23994706769676352,0.2399470963006847,0.23994706769676352,0.23994706769676352,0.23994706769676352,0.23994706769676352
